numero_cta,nivel,tipo_cta,nombre
52020502-00,5,5,FLETES Y ACARREOS GENERAL
52020502-31,5,5,FLETES Y ACARREOS CAFE PERGAMINO
52020502-33,5,5,FLETES Y ACARREOS CAFE PILADO Y TRILLADO
52020503,4,5,REPARACION Y REPUESTOS
52020503-31,5,5,REPARACION Y REPUESTOS CAFE PERGAMINO
52020503-32,5,5,REPARACION Y REPUESTOS CAFE SIN TRILLAR
52020504,4,5,COMBUSTIBLES Y LUBRICANTES
52020504-31,5,5,COMBUSTIBLES Y LUBRICANTES CAFE PERGAMINO
52020506,4,5,AGUA Y LUZ
52020507,4,5,REGALIA PASCUAL
52020508,4,5,COMUNICACIONES
52020509,4,5,CONSERVACION EDIFICIOS
52020509-31,5,5,CONSERVACION EDIFICIOS CAFE PERGAMINO
52020510,4,5,DEPRECIACION MAQUINARIA Y EQUIPO
52020511,4,5,DEPRECIACION EDIFICIO
52020512,4,5,DEPRECIACION MOBILIARIOS Y EQUIPOS
52020513,4,5,VIAJES Y DIETAS
52020514,4,5,COMISION VENTAS CAFE
